customer_id,customer_name,email,city,region,registration_date
88,Customer 88,customer88@example.com,Yekaterinburg,Ural,2023-10-11
89,Customer 89,customer89@example.com,Kazan,Volga,2024-08-16
90,Customer 90,customer90@example.com,Saint Petersburg,Northwest,2025-09-11
91,Customer 91,customer91@example.com,Moscow,Central,2025-04-09
92,Customer 92,customer92@example.com,Kazan,Volga,2025-04-18
93,Customer 93,customer93@example.com,Saint Petersburg,Northwest,2023-05-14
94,Customer 94,customer94@example.com,Moscow,Central,2024-08-31
95,Customer 95,customer95@example.com,Yekaterinburg,Ural,2024-03-07
96,Customer 96,customer96@example.com,Novosibirsk,Siberia,2025-12-26
97,Customer 97,customer97@example.com,Kazan,Volga,2023-07-06
98,Customer 98,customer98@example.com,Novosibirsk,Siberia,2024-06-25
99,Customer 99,customer99@example.com,Saint Petersburg,Northwest,2023-02-20
100,Customer 100,customer100@example.com,Kazan,Volga,2023-11-20
